学生,情感得分,情感倾向
学生18,0.9880270957946777,积极
学生39,0.9874650239944458,积极
学生3,0.9851512312889099,积极
学生10,0.9826761484146118,积极
学生4,0.9819179177284241,积极
学生16,0.9780334830284119,积极
学生31,0.974724531173706,积极
学生20,0.9745792150497437,积极
学生34,0.9744857549667358,积极
学生8,0.9743862152099609,积极
学生5,0.9737591743469238,积极
学生37,0.9731940031051636,积极
学生12,0.9709913730621338,积极
学生1,0.9700098037719727,积极
学生35,0.9684630632400513,积极
学生2,0.9674980044364929,积极
学生40,0.965645432472229,积极
学生14,0.9649467468261719,积极
学生23,0.9639116525650024,积极
学生21,0.9636796712875366,积极
学生11,0.9633912444114685,积极
学生24,0.9612818956375122,积极
学生29,0.9605449438095093,积极
学生22,0.9592587947845459,积极
学生9,0.957207441329956,积极
学生15,0.9556491374969482,积极
学生26,0.9552639126777649,积极
学生33,0.9530866146087646,积极
学生19,0.9519169330596924,积极
学生6,0.9507213234901428,积极
学生32,0.9494243860244751,积极
学生38,0.9473332166671753,积极
学生27,0.9462351202964783,积极
学生7,0.9454023241996765,积极
学生13,0.9415583610534668,积极
学生30,0.9400166273117065,积极
学生36,0.9199448227882385,积极
学生17,0.9151140451431274,积极
学生25,0.9103314876556396,积极
学生28,0.9030842781066895,积极
